1,20,25,60663
1,20,50,53152
1,20,75,62298
1,20,100,155748
1,25,25,89311
1,25,50,2381
1,25,75,485053
1,25,100,281676
1,30,25,99248
1,30,50,278318
1,30,75,499262
1,30,100,441385
1,40,25,130820
1,40,50,5985
1,40,75,83950
1,40,100,23401
1,50,25,116698
1,50,50,390226
1,50,75,2006364
1,50,100,4409738
1,60,25,1757393
1,60,50,910080
1,60,75,784111
1,60,100,645952
1,70,25,1563529
1,70,50,4632429
1,70,75,9637764
1,70,100,9083162
2,20,25,13380
2,20,50,18597
2,20,75,236143
2,20,100,73665
2,25,25,21739
2,25,50,116990
2,25,75,47558
2,25,100,31990
2,30,25,90566
2,30,50,585648
2,30,75,486370
2,30,100,1163628
2,40,25,219459
2,40,50,1097095
2,40,75,1678372
2,40,100,2834208
2,50,25,632932
2,50,50,2094323
2,50,75,3122859
2,50,100,1173995
2,60,25,1849294
2,60,50,4059488
2,60,75,201034
2,60,100,76201
2,70,25,2840484
2,70,50,402520
2,70,75,5812116
2,70,100,1064496
3,20,25,68842
3,20,50,27124
3,20,75,113324
3,20,100,122481
3,25,25,149610
3,25,50,266546
3,25,75,5093
3,25,100,657434
3,30,25,212682
3,30,50,45019
3,30,75,348304
3,30,100,438744
3,40,25,106299
3,40,50,966581
3,40,75,1542933
3,40,100,62867
3,50,25,611001
3,50,50,875586
3,50,75,888379
3,50,100,1565785
3,60,25,715350
3,60,50,2913216
3,60,75,6162617
3,60,100,3569089
3,70,25,847935
3,70,50,3508633
3,70,75,7563980
3,70,100,1032519
4,20,25,30380
4,20,50,8035
4,20,75,14822
4,20,100,321493
4,25,25,34237
4,25,50,57709
4,25,75,433957
4,25,100,42453
4,30,25,234932
4,30,50,67767
4,30,75,80847
4,30,100,21016
4,40,25,145937
4,40,50,1103768
4,40,75,953502
4,40,100,47835
4,50,25,919073
4,50,50,668959
4,50,75,1568349
4,50,100,2429388
4,60,25,2123489
4,60,50,1815799
4,60,75,2129472
4,60,100,1575296
4,70,25,4046545
4,70,50,8649
4,70,75,36082
4,70,100,3108654
5,20,25,43644
5,20,50,118450
5,20,75,15840
5,20,100,100447
5,25,25,30592
5,25,50,254434
5,25,75,97553
5,25,100,182831
5,30,25,200506
5,30,50,579664
5,30,75,236658
5,30,100,576705
5,40,25,266186
5,40,50,879188
5,40,75,647663
5,40,100,1723680
5,50,25,727029
5,50,50,302545
5,50,75,799170
5,50,100,5696229
5,60,25,449099
5,60,50,241209
5,60,75,20740
5,60,100,2271820
5,70,25,2570519
5,70,50,7154127
5,70,75,1567151
5,70,100,232522
6,20,25,80569
6,20,50,162845
6,20,75,9970
6,20,100,217911
6,25,25,119624
6,25,50,253837
6,25,75,210055
6,25,100,77271
6,30,25,23898
6,30,50,342141
6,30,75,7289
6,30,100,371531
6,40,25,570691
6,40,50,198904
6,40,75,155562
6,40,100,2256336
6,50,25,1445671
6,50,50,217981
6,50,75,2149332
6,50,100,5367194
6,60,25,1910262
6,60,50,3069825
6,60,75,719126
6,60,100,5761777
6,70,25,2693668
6,70,50,2094051
6,70,75,5792127
6,70,100,46353
7,20,25,4058
7,20,50,23176
7,20,75,149045
7,20,100,154117
7,25,25,29533
7,25,50,218625
7,25,75,60518
7,25,100,14242
7,30,25,146737
7,30,50,43667
7,30,75,5554
7,30,100,322908
7,40,25,12553
7,40,50,597506
7,40,75,792477
7,40,100,31025
7,50,25,729737
7,50,50,2368865
7,50,75,2484811
7,50,100,2229273
7,60,25,1002880
7,60,50,1507243
7,60,75,36148
7,60,100,2869805
7,70,25,2726490
7,70,50,8082857
7,70,75,26805
7,70,100,2449523
8,20,25,44858
8,20,50,8622
8,20,75,236912
8,20,100,128015
8,25,25,98847
8,25,50,292865
8,25,75,281415
8,25,100,492322
8,30,25,291363
8,30,50,99174
8,30,75,54165
8,30,100,744983
8,40,25,626021
8,40,50,952016
8,40,75,613126
8,40,100,56908
8,50,25,1255198
8,50,50,2886290
8,50,75,3105698
8,50,100,2876065
8,60,25,1080888
8,60,50,172750
8,60,75,34787
8,60,100,1042276
8,70,25,551826
8,70,50,5663128
8,70,75,19605
8,70,100,744978
9,20,25,88438
9,20,50,80020
9,20,75,59872
9,20,100,194248
9,25,25,172913
9,25,50,139543
9,25,75,485727
9,25,100,155047
9,30,25,152463
9,30,50,9828
9,30,75,377727
9,30,100,489140
9,40,25,150625
9,40,50,480184
9,40,75,1068992
9,40,100,157981
9,50,25,14461
9,50,50,190505
9,50,75,944408
9,50,100,332176
9,60,25,101739
9,60,50,2099775
9,60,75,6472928
9,60,100,2894507
9,70,25,273568
9,70,50,7079105
9,70,75,2692365
9,70,100,15446837
10,20,25,43716
10,20,50,67344
10,20,75,4290
10,20,100,187226
10,25,25,32779
10,25,50,118081
10,25,75,18077
10,25,100,75907
10,30,25,180738
10,30,50,129365
10,30,75,696046
10,30,100,936696
10,40,25,526426
10,40,50,786908
10,40,75,17328
10,40,100,1145921
10,50,25,1124813
10,50,50,1662481
10,50,75,978402
10,50,100,4711807
10,60,25,53831
10,60,50,1357436
10,60,75,717434
10,60,100,920983
10,70,25,3123240
10,70,50,7099866
10,70,75,6884327
10,70,100,3566077
